id,value
id_0,25.7576485341
id_1,64.6579077092
id_2,19.6334149562
id_3,28.7257593755
id_4,9.59016289739
id_5,30.4946186391
id_6,41.6135804202
id_7,16.4743738728
id_8,50.657156139
id_9,32.9904092126
id_10,37.9246240402
id_11,58.6129673162
id_12,36.0376255222
id_13,38.2382820555
id_14,29.0191358698
id_15,12.3772961814
id_16,51.4001695228
id_17,22.9825323933
id_18,15.8057378847
id_19,17.7160370384
id_20,15.5682405992
id_21,29.3844676907
id_22,39.669727845
id_23,10.179219328
id_24,61.3795269504
id_25,45.9291961085
id_26,26.9504400028
id_27,7.79398979681
id_28,29.5303278238
id_29,35.5897257665
id_30,17.5272899266
id_31,11.5719541613
id_32,16.689200659
id_33,7.78510960576
id_34,16.065736122
id_35,43.7102989861
id_36,22.8399824278
id_37,27.5517425667
id_38,10.3781750785
id_39,56.9279047406
id_40,45.6814943855
id_41,20.582238458
id_42,53.4323603567
id_43,18.4684627725
id_44,43.411846662
id_45,49.9946197274
id_46,58.4175764255
id_47,41.0801793607
id_48,54.6046739243
id_49,38.9016415239
id_50,30.7570872595
id_51,22.7173486521
id_52,41.8386773431
id_53,25.2942716874
id_54,36.2931110275
id_55,38.7169596417
id_56,24.4570541377
id_57,21.1082456977
id_58,35.9311582209
id_59,32.7688074731
id_60,11.469914548
id_61,24.0077287092
id_62,31.0953056008
id_63,51.5238268447
id_64,49.9583917295
id_65,26.1875343441
id_66,37.54899917
id_67,52.0512586174
id_68,29.1273216874
id_69,38.9849070334
id_70,64.5675055108
id_71,55.3530839222
id_72,42.7738070118
id_73,14.5805282179
id_74,13.8120618247
id_75,35.4932370015
id_76,62.8094209654
id_77,2.08262096959
id_78,41.994939001
id_79,41.6449080448
id_80,8.73929069063
id_81,21.0560274286
id_82,6.6769774876
id_83,32.0861456887
id_84,8.01237081902
id_85,5.0175576893
id_86,17.0969670104
id_87,11.7776163676
id_88,17.3838238277
id_89,22.4642789839
id_90,35.0918692331
id_91,12.3133595461
id_92,11.5060147068
id_93,10.5473019135
id_94,36.551389443
id_95,15.127698741
id_96,17.3287847448
id_97,9.13803449817
id_98,10.6086263792
id_99,4.58044193677
id_100,10.3578309126
id_101,18.7674206438
id_102,11.34321964
id_103,9.34609868628
id_104,12.888203732
id_105,36.5122519763
id_106,22.8092890029
id_107,8.35851248514
id_108,17.6266436528
id_109,16.0396225112
id_110,10.954876243
id_111,14.5042552465
id_112,16.2439853861
id_113,24.5725007046
id_114,20.3265523661
id_115,15.3352687682
id_116,9.09348585583
id_117,43.281330266
id_118,25.7163606956
id_119,0.903035319673
id_120,0.041545675055
id_121,10.3542020234
id_122,12.5421717438
id_123,11.935671619
id_124,7.16720633306
id_125,25.2446431553
id_126,23.3760309083
id_127,9.27412370342
id_128,19.520767177
id_129,13.2549268771
id_130,1.50860382685
id_131,32.0209584568
id_132,15.597048741
id_133,22.4866384901
id_134,26.8737808171
id_135,25.1977869635
id_136,9.532978581
id_137,22.8958428014
id_138,78.2175397508
id_139,63.1394516015
id_140,27.8122193159
id_141,19.1785325587
id_142,24.5434867989
id_143,6.88435447205
id_144,14.2051383567
id_145,9.79435115986
id_146,18.6114808997
id_147,7.45764299911
id_148,12.2820710365
id_149,16.5940595207
id_150,45.1147537482
id_151,19.5146772458
id_152,21.7971981018
id_153,14.2986207482
id_154,14.1496987078
id_155,23.6721307776
id_156,24.3955953919
id_157,37.2024848838
id_158,3.54174339443
id_159,22.3741805983
id_160,41.7033720251
id_161,19.1168439702
id_162,60.3312837581
id_163,16.5538489297
id_164,34.1539828851
id_165,25.1169685601
id_166,23.1172742327
id_167,1.35724181789
id_168,68.6805615544
id_169,16.4235064848
id_170,16.2079175489
id_171,70.2958702432
id_172,20.4443167239
id_173,2.66485758675
id_174,24.2308950141
id_175,0.592289854342
id_176,9.42561761763
id_177,18.4455478135
id_178,22.6155763815
id_179,24.2593328392
id_180,42.3674658652
id_181,34.193198615
id_182,30.9115133679
id_183,14.5387818501
id_184,7.38556305218
id_185,42.0938196584
id_186,35.8796263566
id_187,33.6244971583
id_188,14.7942536071
id_189,24.4547315453
id_190,14.3336376941
id_191,15.1834791628
id_192,29.7327582389
id_193,74.0798670404
id_194,31.971022146
id_195,10.7854480192
id_196,62.0692968983
id_197,18.1408885238
id_198,19.9303232691
id_199,21.3156060446
id_200,122.983363419
id_201,22.9092475581
id_202,58.6246331511
id_203,4.40946225679
id_204,58.4512445502
id_205,34.0930003904
id_206,14.8679375436
id_207,15.4747161733
id_208,60.6066732469
id_209,14.0861186606
id_210,38.7444501477
id_211,67.8946677097
id_212,19.3802785865
id_213,113.810021485
id_214,40.6324265236
id_215,75.4491749868
id_216,90.2791239434
id_217,70.8552505417
id_218,30.3733025876
id_219,22.2620183347
id_220,30.1568530532
id_221,56.6457179124
id_222,25.9480590507
id_223,38.9220857629
id_224,43.5722799664
id_225,9.82560143764
id_226,6.02317491335
id_227,81.727020231
id_228,29.4125133656
id_229,1.96276799807
id_230,39.6421075216
id_231,14.9350146715
id_232,22.3451570184
id_233,7.41365742533
id_234,16.2209215637
id_235,24.9083360029
id_236,14.5474539306
id_237,3.81637681982
id_238,23.4527920866
id_239,13.2084933742
